vendor_id,pickup_month,pickup_hour,pickup_day_of_week,dropoff_month,dropoff_hour,dropoff_day_of_week,passenger_count,trip_distance,fare_amount,tip_amount,payment_type,trip_type
2,1,14,4,1,14,4,2,6.09,25.5,0,1,1
2,1,14,4,1,15,4,1,10.61,36.5,0.5,1,1
2,1,15,4,1,16,4,1,6.02,30.5,0,2,1
2,1,15,4,1,16,4,1,8.76,38.5,0,1,1
1,1,17,4,1,18,4,2,6.9,29,0,2,1
2,1,17,4,1,18,4,1,6.09,29,0,2,1
2,1,18,4,1,18,4,2,3.65,16.1,3.5,1,2
2,1,19,4,1,0,5,1,19.06,56,0,2,1
2,1,19,4,1,19,4,1,7.27,27,7.2,1,1
1,1,20,4,1,21,4,1,7.2,27,3.7,1,1
2,1,20,4,1,20,4,2,8.15,26,0,2,1
2,1,20,4,1,20,4,1,12.21,37.5,5,1,1
2,1,21,4,1,22,4,1,9.4,33,0,1,1
1,1,22,4,1,23,4,1,10.7,33,0,3,1
2,1,23,4,1,0,5,2,10.06,29.5,6.16,1,1
2,1,23,4,1,23,4,2,2.7,27,0,2,2
2,1,7,5,1,8,5,1,7.29,30,0,1,1
2,1,11,5,1,12,5,1,10.99,47,0,1,1
2,1,14,5,1,14,5,1,17,52,10,1,1
1,1,16,5,1,19,5,2,11.7,78,15.95,1,1
2,1,21,5,1,22,5,1,17.38,55,0,1,1
1,1,22,5,1,22,5,1,3.2,0,0,2,2
2,1,7,6,1,8,6,2,14.1,51,0,1,1
2,1,8,6,1,9,6,1,6.69,27,3,1,1
2,1,8,6,1,9,6,1,3.63,24.5,5.06,1,1
2,1,9,6,1,9,6,1,8,30.5,0,2,1
2,1,9,6,1,9,6,1,10.4,30,5,1,1
1,1,10,6,1,11,6,1,11.3,38.5,5.9,1,1
2,1,11,6,1,11,6,1,7.16,26,5.36,1,1
2,1,11,6,1,12,6,1,12.13,42,0,1,1
1,1,12,6,1,13,6,1,15.3,46,7.1,1,1
2,1,12,6,1,12,6,1,0,52,0,2,1
1,1,15,6,1,16,6,1,13.6,42.5,0,2,1
1,1,15,6,1,16,6,2,17.3,52,11.7,1,1
2,1,15,6,1,16,6,1,10.9,34,6.96,1,1
1,1,15,6,1,15,6,1,7.7,28,0,2,1
1,1,15,6,1,16,6,2,9.3,34,0,2,1
2,1,19,6,1,19,6,1,8.88,33,0,2,1
1,1,19,6,1,19,6,3,6.8,28,5.95,1,1
1,1,5,7,1,5,7,3,0.7,0,0,2,2
1,1,5,7,1,7,7,1,20.6,65,10,1,2
2,1,7,7,1,7,1,1,5.52,32.5,0,2,1
2,1,10,7,1,10,7,1,20.67,56.5,0,1,1
1,1,11,7,1,11,7,1,2.1,0,0,2,2
2,1,12,7,1,12,7,5,15.46,43,0,1,1
1,1,12,7,1,12,7,1,7.6,24.5,0,2,1
2,1,12,7,1,13,7,6,6.15,24.5,0,2,1
2,1,12,7,1,12,7,5,10.25,30.5,6.26,1,1
1,1,13,7,1,14,7,1,8.7,31,0,2,1
2,1,13,7,1,14,7,1,9.49,28.5,5,1,1
2,1,14,7,1,14,7,1,14.54,75,0,2,2
1,1,14,7,1,15,7,3,12.3,36.5,7.46,1,1
2,1,18,7,1,18,7,2,0,28,0,1,2
2,1,19,7,1,19,7,3,0.06,-2.5,0,3,1
2,1,19,7,1,19,7,2,9.11,29,0,1,1
2,1,20,7,1,20,7,1,7.71,27,5.66,1,1
1,1,20,7,1,20,7,1,0.1,0,0,3,2
2,1,21,7,1,21,7,1,9.8,27,0,2,1
2,1,21,7,1,22,7,1,8.42,33,0,2,1
2,1,23,7,1,23,7,1,9.8,27.5,0,2,1
2,1,0,1,1,1,1,1,8.49,29,7.58,1,1
1,1,1,1,1,2,1,1,13.2,38.5,0,2,1
2,1,4,1,1,4,1,2,8.55,27,5.66,1,1
2,1,4,1,1,5,1,1,24.91,71.5,0,2,1
2,1,4,1,1,5,1,1,16.38,80,5,1,2
2,1,11,1,1,11,1,1,9.13,27,0,2,1
1,1,11,1,1,12,1,1,8.4,25.5,6.55,1,1
1,1,16,1,1,16,1,1,8.6,29.5,0,2,1
2,1,19,1,1,19,1,1,5.54,30,0,1,1
2,1,18,1,1,19,1,1,7.51,28.5,5,1,1
2,1,22,1,1,0,2,5,17.35,68,13.86,1,1
2,1,23,1,1,23,1,1,7.99,24.5,5.16,1,1
2,1,5,2,1,6,2,1,10.62,31.5,0,2,2
1,1,7,2,1,7,2,1,9.7,31,5,1,1
2,1,8,2,1,8,2,1,3.76,31.5,0,1,1
2,1,8,2,1,8,2,1,7.23,28.5,5.86,1,1
2,1,8,2,1,10,2,1,3.52,35,0,1,1
2,1,8,2,1,9,2,1,6.32,30,0,2,1
2,1,9,2,1,9,2,1,9.25,30,6.16,1,1
2,1,9,2,1,9,2,1,9.28,31.5,7,1,1
2,1,9,2,1,10,2,1,12.66,47.5,0,1,1
2,1,9,2,1,10,2,5,5.36,37.5,0,1,1
1,1,9,2,1,9,2,1,1.2,0,0,2,2
2,1,10,2,1,11,2,1,7.38,26,5.36,1,1
2,1,13,2,1,14,2,1,10.12,36,11.04,1,1
2,1,13,2,1,14,2,1,9.82,31.5,0,2,1
2,1,14,2,1,14,2,1,5.65,26,5.36,1,1
2,1,15,2,1,16,2,1,14.91,56.5,0,2,1
2,1,16,2,1,18,2,1,16.81,61.5,0,1,1
2,1,16,2,1,16,2,1,4.53,24.5,0,2,1
2,1,16,2,1,16,2,1,0,0,0,1,1
2,1,17,2,1,17,2,1,5.16,28,0,2,1
2,1,17,2,1,18,2,1,6.48,41.5,0,1,1
2,1,19,2,1,19,2,1,5.62,27,0,1,1
2,1,22,2,1,23,2,1,9.17,33.5,10.44,1,1
2,1,23,2,1,0,3,1,14.73,41,2,1,1
2,1,0,3,1,1,3,1,7.37,25.5,1,1,1
2,1,6,3,1,7,3,1,14.33,43,4,1,1
1,1,7,3,1,8,3,1,8.9,0,0,2,2
2,1,7,3,1,8,3,1,11.78,36.5,7,1,1
2,1,8,3,1,8,3,1,0.17,-3,0,4,1
1,1,9,3,1,9,3,1,12.6,35.5,7.25,1,1
1,1,9,3,1,10,3,1,10.4,40,0,2,1
2,1,9,3,1,9,3,1,6.95,26.5,5.46,1,1
1,1,10,3,1,10,3,1,2.1,0,0,2,2
2,1,10,3,1,11,3,1,7.15,27.5,0,1,1
2,1,11,3,1,10,4,1,8.27,27,0,2,1
2,1,11,3,1,11,3,5,9.47,29,0,1,1
2,1,12,3,1,12,3,1,8.17,33.5,0,2,1
2,1,12,3,1,13,3,1,14.45,52,0,1,1
2,1,13,3,1,14,3,1,6.83,31.5,0,2,1
2,1,13,3,1,14,3,1,9.3,30.5,0,2,1
2,1,15,3,1,16,3,1,7.5,38.5,0,2,1
2,1,15,3,1,16,3,1,9.26,33,0,1,1
2,1,15,3,1,16,3,1,13.62,41.5,0,1,1
2,1,16,3,1,17,3,5,5.12,29.5,0,2,1
2,1,16,3,1,17,3,1,7.38,31,0,1,1
2,1,16,3,1,17,3,1,4.72,24.5,0,1,1
2,1,16,3,1,16,3,1,10.74,33,6.96,1,1
2,1,17,3,1,17,3,2,6.14,32.5,0,1,1
2,1,17,3,1,18,3,1,5.84,28,0,2,1
2,1,17,3,1,18,3,6,8.1,27.5,5,1,1
2,1,17,3,1,17,3,1,5.46,27.5,0,2,1
2,1,18,3,1,20,3,2,21.2,91.5,0,2,1
1,1,18,3,1,18,3,1,8,34,7.15,1,1
2,1,18,3,1,19,3,1,10.67,36.5,0,1,1
2,1,18,3,1,19,3,1,9.55,33,0,1,1
2,1,19,3,1,19,3,1,7.46,28.5,0,2,1
2,1,20,3,1,21,3,1,16.16,45.5,5,1,1
2,1,21,3,1,22,3,1,7.37,28.5,8.94,1,1
2,1,22,3,1,23,3,1,14.74,41,8.46,1,1
2,1,1,4,1,1,4,2,8.38,24.5,0,2,1
2,1,6,4,1,7,4,1,4.78,36,0,1,1
2,1,7,4,1,8,4,1,5.88,31,0,1,1
1,1,7,4,1,8,4,1,7.3,35,0,2,1
2,1,8,4,1,9,4,1,16.53,54,0,1,1
2,1,8,4,1,9,4,2,9.63,32,0,1,1
2,1,8,4,1,9,4,1,8.84,30.5,0,2,1
2,1,9,4,1,9,4,6,8.89,27,5,1,1
1,1,10,4,1,10,4,2,7.2,24.5,0,2,1
2,1,10,4,1,11,4,2,7.39,29.5,6.06,1,1
2,1,11,4,1,11,4,1,11.24,36,0,1,1
1,1,12,4,1,12,4,1,0,6.7,0,2,1
1,1,12,4,1,13,4,2,14.5,42,9.71,1,1
2,1,13,4,1,13,4,1,6.36,26,0,2,1
1,1,14,4,1,15,4,1,18.3,52,11.7,1,1
2,1,14,4,1,14,4,5,6.58,24.5,5.06,1,1
2,1,16,4,1,16,4,1,0,0.34,0.1,1,2
2,1,16,4,1,17,4,1,5.22,25.5,5.46,1,1
2,1,17,4,1,18,4,1,6.18,32,0,2,1
1,1,18,4,1,19,4,1,6.4,26,3.5,1,1
2,1,19,4,1,19,4,1,6.61,24.5,5.26,1,1
2,1,19,4,1,20,4,1,12.82,38,0,1,1
2,1,19,4,1,19,4,1,7.96,26.5,5.66,1,1
2,1,21,4,1,22,4,1,7.66,24.5,5.16,1,1
1,1,1,5,1,1,5,1,9.8,29.5,0,1,1
2,1,5,5,1,6,5,1,8.05,34,0,1,1
1,1,6,5,1,6,5,1,3.5,0,0,2,2
2,1,6,5,1,6,5,1,9.41,29.5,0,1,1
2,1,6,5,1,7,5,1,8.73,34.5,0,1,1
2,1,7,5,1,8,5,1,5.64,24.5,10,1,1
2,1,8,5,1,9,5,1,17.26,51.5,0,1,1
2,1,9,5,1,9,5,1,8.16,29.5,3.03,1,1
2,1,9,5,1,10,5,1,5.3,31,0,2,1
2,1,9,5,1,10,5,1,9.3,31,0,1,1
2,1,13,5,1,13,5,1,16.49,47.5,0,1,1
2,1,14,5,1,15,5,1,6.55,24.5,5.06,1,1
1,1,15,5,1,15,5,1,8.3,27.5,4.25,1,1
2,1,16,5,1,17,5,1,12.98,45,0,1,1
2,1,16,5,1,17,5,1,7.36,36.5,7.66,1,1
2,1,17,5,1,18,5,1,7,27.5,5.86,1,1
2,1,17,5,1,18,5,1,4.18,28.5,2,1,1
2,1,19,5,1,19,5,1,7.35,26,5.56,1,1
1,1,19,5,1,19,5,1,8.1,27.5,1.47,1,1
2,1,20,5,1,20,6,5,12.23,45,9.26,1,1
2,1,21,5,1,22,5,1,6.48,25.5,0,1,1
2,1,23,5,1,23,5,1,8.8,26.5,5.56,1,1
2,1,3,6,1,3,6,1,11.34,33,0,1,1
2,1,7,6,1,7,6,1,0.63,37,5,1,2
2,1,7,6,1,8,6,1,5.58,29.5,0,1,1
2,1,8,6,1,8,6,1,14.35,42.5,8.66,1,1
2,1,9,6,1,9,6,1,11.66,36.5,0,2,1
2,1,9,6,1,10,6,1,8.36,34.5,0,1,1
2,1,10,6,1,11,6,1,6.67,29,5.96,1,1
2,1,10,6,1,11,6,1,8.56,25.5,0,2,1
2,1,12,6,1,12,6,1,7.24,27,0,2,1
2,1,12,6,1,13,6,1,5.97,28,0,1,1
2,1,11,6,1,12,6,1,7.9,29,0,2,1
2,1,12,6,1,13,6,1,8.97,28,1.25,1,1
2,1,12,6,1,13,6,1,8.42,29.5,7.58,1,1
2,1,13,6,1,14,6,1,8.72,31.5,6.46,1,1
2,1,13,6,1,14,6,1,6.44,28.5,0,1,1
2,1,15,6,1,15,6,1,6.51,25.5,0,1,1
2,1,15,6,1,16,6,5,5.44,26,0,1,1
2,1,16,6,1,17,6,1,5.56,26.5,6,1,1
2,1,17,6,1,18,6,6,5.69,26,3,1,1
1,1,18,6,1,18,6,1,6.8,25.5,3,1,1
2,1,19,6,1,19,6,1,6.23,24.5,0,2,1
2,1,19,6,1,19,6,1,0.07,-2.5,0,3,1
2,1,20,6,1,20,6,1,0,52,0,2,1
2,1,21,6,1,21,6,5,8.58,30,0,2,1
2,1,21,6,1,21,6,1,0.02,-2.5,0,3,1
2,1,21,6,1,21,6,1,8.2,28,0,1,1
2,1,22,6,1,23,6,1,7.66,27,0,2,1
2,1,0,7,1,0,7,1,7.19,25.5,5.36,1,1
2,1,23,6,1,23,6,1,13.19,38.5,9.11,1,1
1,1,1,7,1,1,7,1,10.5,31,0,2,1
2,1,2,7,1,3,7,1,7.62,24.5,0,2,1
2,1,2,7,1,2,7,1,10.78,31.5,3,1,1
1,1,4,7,1,4,7,2,10.1,32,3.7,1,1
1,1,5,7,1,5,7,1,19.4,53.5,5,1,1
2,1,12,7,1,12,7,1,15.35,42.5,5,1,1
2,1,14,7,1,14,7,1,7.21,24.5,3,1,1
2,1,15,7,1,15,7,1,14.44,40.5,8.26,1,1
2,1,16,7,1,17,7,1,4.82,43.5,0,2,1
2,1,18,7,1,18,7,1,16.05,46,0,1,1
2,1,18,7,1,19,7,1,16.47,54,5,1,1
2,1,20,7,1,21,7,1,6.36,28,5.86,1,1
2,1,21,7,1,21,7,1,7.18,28,0,2,1
2,1,22,7,1,23,7,1,10.46,40,0,1,1
2,1,0,1,1,0,1,1,15.79,44,9.06,1,1
1,1,1,1,1,2,1,1,10.2,30.5,0,2,1
2,1,1,1,1,1,1,2,8.87,24.5,0,1,1
1,1,6,1,1,6,1,1,2.9,0,0,2,2
2,1,8,1,1,9,1,1,20.09,66.5,0,1,1
2,1,9,1,1,9,1,1,17.03,45,9.16,1,1
2,1,10,1,1,11,1,6,9.31,46,0,2,1
2,1,12,1,1,13,1,1,4.08,24.5,0,1,1
2,1,14,1,1,15,1,1,7.17,27,0,2,1
1,1,15,1,1,16,1,2,7.6,25.5,0,2,1
2,1,16,1,1,0,2,1,16.71,48.5,0,2,1
2,1,19,1,1,19,1,1,8.9,26.5,6.82,1,1
2,1,20,1,1,21,1,1,11.58,37,0,2,1
2,1,3,2,1,3,2,5,6.47,26,0,2,2
2,1,3,2,1,4,2,1,14.78,54.5,0,1,1
2,1,3,2,1,3,2,1,12.5,34,7.06,1,1
1,1,3,2,1,4,2,1,8.7,27,5.65,1,1
2,1,4,2,1,4,2,1,5.7,35,0,2,2
2,1,5,2,1,6,2,1,12.15,43.5,10.11,1,1
2,1,9,2,1,10,2,1,8.55,29,3,1,1
2,1,10,2,1,11,2,1,12.29,34.5,0,2,1
2,1,11,2,1,12,2,1,8.3,31,6.36,1,1
2,1,11,2,1,12,2,1,6.41,27.5,0,1,1
2,1,11,2,1,11,2,1,8.16,27,5.56,1,1
2,1,12,2,1,13,2,1,11.88,39,0,1,1
1,1,12,2,1,13,2,1,7.1,27,0,2,1
2,1,15,2,1,16,2,1,6.57,29.5,0,1,1
2,1,16,2,1,17,2,1,11.59,43.5,0,2,1
2,1,17,2,1,17,2,1,9.14,36.5,0,1,1
2,1,19,2,1,20,2,1,6.11,42,0,2,1
1,1,20,2,1,21,2,1,11.1,31.5,6.57,1,1
2,1,8,3,1,9,3,1,8.78,27,0.08,1,1
2,1,21,2,1,22,2,2,8.78,26,0,2,1
2,1,21,2,1,21,2,5,0.02,-2.5,0,4,1
2,1,22,2,1,23,2,1,12.13,36,0,1,1
2,1,23,2,1,1,3,1,15,60.5,0,1,1
2,1,6,3,1,6,3,1,14.76,46.5,0,2,1
2,1,7,3,1,8,3,1,4.7,25.5,0,1,1
2,1,7,3,1,7,3,6,15.74,43,0,2,1
2,1,8,3,1,8,3,1,7.28,29,0,1,1
2,1,9,3,1,10,3,1,9.61,37,2,1,1
2,1,9,3,1,10,3,1,10.27,32,0,2,1
1,1,10,3,1,11,3,1,5.8,25.5,6,1,1
2,1,11,3,1,12,3,1,4.89,24.5,0,1,1
2,1,12,3,1,12,3,1,7.43,25.5,0,2,1
2,1,14,3,1,15,3,1,10.29,33.5,0,1,1
2,1,15,3,1,16,3,1,4.8,28.5,0,1,1
2,1,15,3,1,15,3,1,7.15,29.5,0,1,1
1,1,18,3,1,19,3,1,9.4,32.5,0,2,1
2,1,19,3,1,19,3,1,0.41,-3.5,0,3,1
2,1,20,3,1,21,3,1,11.96,36.5,7.56,1,1
2,1,7,4,1,8,4,1,11.93,41.5,0,1,1
1,1,8,4,1,8,4,1,6.1,27,5.55,1,1
1,1,9,4,1,9,4,1,1.8,0,0,2,2
2,1,9,4,1,10,4,1,8.91,29.5,9.02,1,1
2,1,10,4,1,10,4,2,0.02,24.8,0,1,2
2,1,11,4,1,11,4,1,0,-2.5,0,4,1
1,1,12,4,1,13,4,1,11.6,34,4,1,1
2,1,12,4,1,13,4,1,9.89,33,0,1,1
2,1,13,4,1,14,4,1,7.91,29,5.96,1,1
1,1,14,4,1,15,4,1,8.1,25.5,6.55,1,1
2,1,14,4,1,14,4,1,8.71,28.5,4,1,1
2,1,16,4,1,16,4,1,4.85,25.5,0,1,1
2,1,17,4,1,18,4,6,6.2,27,5.76,1,1
2,1,17,4,1,18,4,1,9.94,30.5,0,2,1
2,1,17,4,1,18,4,1,5.27,27.5,5.86,1,1
2,1,17,4,1,17,4,1,7.37,27,5,1,1
2,1,18,4,1,19,4,1,13.82,41.5,0,1,1
2,1,20,4,1,20,4,2,0.64,-4,0,3,1
2,1,20,4,1,20,4,1,11.74,65,19.13,1,2
2,1,4,5,1,5,5,1,9.81,27.5,3,1,1
2,1,6,5,1,7,5,1,8.43,45,2,1,1
2,1,8,5,1,9,5,1,26.55,72,18.2,1,1
2,1,8,5,1,9,5,1,8.07,35,7.16,1,1
2,1,9,5,1,10,5,1,8.01,32.5,0,1,1
2,1,9,5,1,10,5,1,9.75,27.5,0,2,1
2,1,11,5,1,12,5,1,9.92,39,0,1,1
2,1,11,5,1,13,5,2,15.57,55,0,2,1
2,1,13,5,1,12,6,1,10.86,34,6.96,1,1
2,1,13,5,1,14,5,1,5.82,26,0,1,1
1,1,14,5,1,14,5,1,0.8,0,0,2,2
2,1,14,5,1,15,5,1,6.6,26,0,2,1
2,1,16,5,1,17,5,1,9.22,41.5,0,2,1
2,1,15,5,1,16,5,1,6.42,27.5,0,2,1
2,1,16,5,1,17,5,1,7.84,37,0,2,1
2,1,16,5,1,17,5,1,8.26,27.5,4,1,1
2,1,16,5,1,18,5,1,22.49,69.5,0,1,1
2,1,17,5,1,18,5,1,6.46,27,0,1,1
2,1,18,5,1,19,5,1,11.6,42,0,1,1
1,1,19,5,1,20,5,1,6.5,25.5,4.1,1,1
2,1,20,5,1,21,5,1,10.3,29,0,2,1
1,1,22,5,1,22,5,1,9.2,29.5,7.7,1,1
2,1,22,5,1,22,5,1,10.03,32,3.5,1,1
2,1,6,6,1,6,6,1,11.94,35,0,1,1
2,1,7,6,1,8,6,1,8.93,27,2,1,1
2,1,7,6,1,9,6,1,40.57,52,0,2,1
2,1,8,6,1,8,6,5,7.55,26,5.36,1,1
1,1,8,6,1,9,6,1,6.6,26,0,1,1
2,1,10,6,1,11,6,1,8.14,28.5,0,1,1
1,1,10,6,1,11,6,1,7.1,28.5,5.86,1,1
2,1,10,6,1,10,6,1,0,52,0,2,1
2,1,10,2,1,10,2,5,0,2126,0,2,1
2,1,11,6,1,13,6,1,25.99,74,0,2,1
1,1,12,6,1,12,6,1,1.2,0,0,2,2
2,1,15,6,1,15,6,1,0,0,0,1,1
2,1,15,6,1,16,6,1,9.52,30,7.7,1,1
2,1,16,6,1,17,6,1,8.97,36,0,2,1
2,1,16,6,1,17,6,1,6.73,24.5,6.58,1,1
2,1,16,6,1,17,6,1,18.68,59.5,0,2,1
2,1,16,6,1,17,6,1,11.21,38.5,0,2,1
2,1,17,6,1,18,6,1,6.55,28,5.96,1,1
2,1,17,6,1,18,6,1,5.25,26,0,2,1
1,1,18,6,1,18,6,1,11.2,40,7,1,1
2,1,18,6,1,19,6,1,9.42,37,0,1,1
2,1,20,6,1,20,6,1,6.56,24.5,5.16,1,1
2,1,23,6,1,0,7,1,17.39,57.5,0,2,1
1,1,23,6,1,23,6,1,2,0,0,2,2
2,1,1,7,1,1,7,1,10.7,30.5,6.36,1,1
2,1,0,7,1,1,7,1,8.99,30,5,1,1
2,1,1,7,1,2,7,4,24.68,69.5,0,2,1
1,1,8,7,1,8,7,1,8,30,9.2,1,1
2,1,8,7,1,9,7,1,9.09,29.5,6.06,1,1
2,1,8,7,1,9,7,1,6.83,25.5,1.32,1,1
2,1,9,7,1,9,7,4,8.35,26.5,5.46,1,1
2,1,10,7,1,10,7,1,11.46,35,0,1,1
1,1,11,7,1,11,7,1,13.8,38.5,5.9,1,1
2,1,11,7,1,12,7,1,7.52,30.5,6.26,1,1
2,1,11,7,1,12,7,1,7.08,25.5,0,2,1
2,1,12,7,1,12,7,1,6.59,25.5,0,1,1
2,1,12,7,1,13,7,1,6.63,27.5,1,1,1
2,1,12,7,1,13,7,1,6.07,25.5,0,1,1
2,1,13,7,1,14,7,1,23.79,72.5,0,1,1
2,1,14,7,1,15,7,1,10.34,31,3.28,1,1
2,1,14,7,1,15,7,1,19.16,59,0,2,1
2,1,14,7,1,14,7,1,7.96,28,5.76,1,1
1,1,17,7,1,17,7,1,7.9,27,7.2,1,1
2,1,17,7,1,18,7,1,10.14,32,1.5,1,1
2,1,18,7,1,18,7,1,6.9,24.5,6.32,1,1
2,1,18,7,1,19,7,1,8.09,30.5,6.26,1,1
2,1,19,7,1,20,7,1,9.34,37,0,2,1
2,1,20,7,1,21,7,1,9.72,29.5,9.14,1,1
2,1,20,7,1,20,7,1,0,18.3,3.66,1,2
2,1,21,7,1,21,7,1,6.92,24.5,0,1,1
2,1,22,7,1,22,7,1,8.89,26.5,5.56,1,1
2,1,22,7,1,22,7,1,0,0,0,1,1
2,1,23,7,1,0,1,1,7.52,27.5,3.58,1,1
2,1,1,1,1,1,1,1,7.74,25.5,5.36,1,1
2,1,1,1,1,1,1,1,0,5.8,1.74,1,2
2,1,3,1,1,4,1,1,15.03,43.5,0,2,1
2,1,4,1,1,4,1,1,7.75,25.5,5.36,1,1
2,1,4,1,1,4,1,1,7.93,26.5,0,2,1
2,1,4,1,1,4,1,1,11.37,34.5,7.16,1,1
2,1,6,1,1,6,1,1,8.46,26.5,3,1,1
2,1,7,1,1,7,1,1,9.4,28,6.91,1,1
2,1,12,1,1,13,1,2,8.94,26.5,0,2,1
2,1,12,1,1,13,1,1,18.71,50,0,1,1
2,1,12,1,1,13,1,2,4.38,24.5,2,1,1
2,1,12,1,1,12,1,2,0.03,52,0,2,1
2,1,13,1,1,14,1,1,11.58,32,4.92,1,1
1,1,13,1,1,14,1,1,17.5,59.5,0,2,1
1,1,17,1,1,18,1,1,6.1,26,0,2,1
1,1,20,1,1,20,1,1,11.8,36,2,1,1
1,1,20,1,1,21,1,1,16.7,47,0.01,1,1
1,1,22,1,1,22,1,1,12.7,37.5,7.75,1,1
2,1,7,2,1,8,2,1,18.22,52,17.57,1,1
2,1,7,2,1,7,2,3,6.29,27,0,1,1
1,1,9,2,1,10,2,1,4.9,26,0,3,1
2,1,11,2,1,12,2,1,7.03,26,0,2,1
2,1,11,2,1,11,2,1,0.39,-4,0,3,1
2,1,11,2,1,11,2,1,9.16,35.5,0,1,1
1,1,12,2,1,12,2,1,0,52,0,2,1
2,1,13,2,1,13,2,1,5.05,30,0,2,2
2,1,14,2,1,15,2,1,10.88,34,8.11,1,1
1,1,14,2,1,15,2,1,8.5,28.5,0,2,1
2,1,16,2,1,16,2,1,8.01,25.5,0,2,1
1,1,17,2,1,18,2,1,5.5,24.5,5.25,1,1
2,1,17,2,1,18,2,1,5.95,26.5,1,1,1
2,1,22,2,1,22,2,1,0.06,-3,0,3,1
2,1,23,2,1,23,2,1,8.38,27.5,5.76,1,1
1,1,0,3,1,0,3,1,1.4,0,0,2,2
2,1,5,3,1,6,3,1,13.44,50.5,0,2,1
2,1,6,3,1,7,3,1,6.89,25.5,7.89,1,1
2,1,8,3,1,9,3,1,7.99,27.5,0,2,1
2,1,7,3,1,8,3,1,7.38,32,0,1,1
1,1,9,3,1,10,3,1,5.1,28,5.76,1,1
2,1,9,3,1,10,3,6,8.75,41.5,8.46,1,1
2,1,9,3,1,9,3,1,9.4,34.5,5.3,1,1
2,1,10,3,1,11,3,1,7.12,28.5,0,1,1
2,1,13,3,1,14,3,5,12.61,49,0,1,1
2,1,13,3,1,13,3,1,8.87,29.5,2.5,1,1
2,1,14,3,1,15,3,5,18.24,56.5,12.61,1,1
2,1,16,3,1,16,3,1,7.67,28.5,0,1,1
2,1,15,3,1,15,3,1,8.21,27.5,7.08,1,1
2,1,16,3,1,16,3,1,16.74,49.5,0,2,1
2,1,18,3,1,18,3,1,9.11,33,6.96,1,1
2,1,17,3,1,18,3,1,17.24,54.5,0,2,1
1,1,18,3,1,18,3,2,5.5,26.5,5.65,1,1
2,1,18,3,1,19,3,1,14.08,43,8,1,1
2,1,18,3,1,19,3,1,12.62,40,8.36,1,1
2,1,20,3,1,20,3,5,7.4,27.5,0,2,1
2,1,20,3,1,21,3,1,6.68,26,0,2,1
2,1,21,3,1,22,3,5,8.06,26,5.46,1,1
2,1,21,3,1,22,3,1,13.73,45,0,1,1
